smiles	idnumber	name	mw	logp	hba	hbd	rotb	tpsa	fsp3	hac
CN(CC1=CSC=N1)S(C)(=O)=O	IMED827268883	N-methyl-N-[(1,3-thiazol-4-yl)methyl]methanesulfonamide	206.292	0.535	4	0	3	50.27	0.5	12
CCS(=O)(=O)NC(C)CS(C)=O	IMED1653171582	N-(1-methanesulfinylpropan-2-yl)ethane-1-sulfonamide	213.324	-0.307	3	1	5	63.24	1.0	12
CC(CCNS(C)(=O)=O)S(C)=O	IMED1438315668	N-(3-methanesulfinylbutyl)methanesulfonamide	213.324	-0.307	3	1	5	63.24	1.0	12
CS(=O)(=O)N(CCO)CC(F)F	IMED1958829506	N-(2,2-difluoroethyl)-N-(2-hydroxyethyl)methanesulfonamide	203.21	-0.495	3	1	5	57.61	1.0	12
CS(=O)(=O)NCC(O)C(F)(F)F	IMED1247495374	N-(3,3,3-trifluoro-2-hydroxypropyl)methanesulfonamide	207.173	-0.541	3	2	3	66.4	1.0	12
CSC(CO)C(C)NS(C)(=O)=O	IMED1530234970	N-[4-hydroxy-3-(methylsulfanyl)butan-2-yl]methanesulfonamide	213.324	-0.352	4	2	5	66.4	1.0	12
CSCC(C)(O)CNS(C)(=O)=O	IMED1247500529	N-[2-hydroxy-2-methyl-3-(methylsulfanyl)propyl]methanesulfonamide	213.324	-0.35	4	2	5	66.4	1.0	12
CCS(=O)(=O)NCC(F)(F)CO	IMED1699617017	N-(2,2-difluoro-3-hydroxypropyl)ethane-1-sulfonamide	203.21	-0.447	3	2	5	66.4	1.0	12
CC(CO)SCCNS(C)(=O)=O	IMED1273134124	N-{2-[(1-hydroxypropan-2-yl)sulfanyl]ethyl}methanesulfonamide	213.324	-0.35	4	2	6	66.4	1.0	12
CC(CS(C)=O)N(C)S(C)(=O)=O	IMED1664996866	N-(1-methanesulfinylpropan-2-yl)-N-methylmethanesulfonamide	213.324	-0.355	3	0	4	54.45	1.0	12
CN(CC1=NC=CS1)S(C)(=O)=O	IMED1312385930	N-methyl-N-[(1,3-thiazol-2-yl)methyl]methanesulfonamide	206.292	0.535	4	0	3	50.27	0.5	12
CS(=O)(=O)NCC1(O)CCSC1	IMED1324332653	N-[(3-hydroxythiolan-3-yl)methyl]methanesulfonamide	211.308	-0.596	4	2	3	66.4	1.0	12
CSCC(CCO)NS(C)(=O)=O	IMED1252854018	N-[4-hydroxy-1-(methylsulfanyl)butan-2-yl]methanesulfonamide	213.324	-0.35	4	2	6	66.4	1.0	12
CSCCC(CO)NS(C)(=O)=O	IMED1438315171	N-[1-hydroxy-4-(methylsulfanyl)butan-2-yl]methanesulfonamide	213.324	-0.35	4	2	6	66.4	1.0	12
OCCNS(=O)(=O)CC(F)(F)F	IMED1725536955	2,2,2-trifluoro-N-(2-hydroxyethyl)ethane-1-sulfonamide	207.173	-0.54	3	2	4	66.4	1.0	12
CCN(CCC#N)S(=O)(=O)N(C)C	IMED1193550517	[(2-cyanoethyl)(ethyl)sulfamoyl]dimethylamine	205.283	0.028	3	0	5	64.41	0.857	13
CCCS(=O)(=O)N(C)CC(C)C#N	IMED884861767	N-(2-cyano-2-methylethyl)-N-methylpropane-1-sulfonamide	204.295	0.818	3	0	5	61.17	0.875	13
CC(CN(C)S(=O)(=O)N(C)C)C#N	IMED884861775	[(2-cyano-2-methylethyl)(methyl)sulfamoyl]dimethylamine	205.283	-0.116	3	0	4	64.41	0.857	13
CCCN1CCN(CC1)S(N)(=O)=O	IMED300342107	4-propylpiperazine-1-sulfonamide	207.299	-0.782	3	1	3	66.64	1.0	13
CC(CC(O)=O)NS(=O)(=O)N(C)C	IMED1431540416	3-[(dimethylsulfamoyl)amino]butanoic acid	210.255	-0.754	3	2	5	86.71	0.833	13
CCN(CC)S(=O)(=O)NC(C)CO	IMED1497235624	(diethylsulfamoyl)(1-hydroxypropan-2-yl)amine	210.299	-0.457	3	2	6	69.64	1.0	13
CC(CO)NS(=O)(=O)N1CCCC1	IMED1497235485	2-[(pyrrolidine-1-sulfonyl)amino]propan-1-ol	208.283	-0.703	3	2	4	69.64	1.0	13
CS(=O)(=O)N1CCN(CCO)CC1	IMED133713625	2-(4-methanesulfonylpiperazin-1-yl)ethan-1-ol	208.283	-1.444	4	1	3	60.85	1.0	13
CCN(CC)S(=O)(=O)NCC(C)O	IMED1470900988	(diethylsulfamoyl)(2-hydroxypropyl)amine	210.299	-0.457	3	2	6	69.64	1.0	13
CC(O)CNS(=O)(=O)N1CCCC1	IMED1470899015	1-[(pyrrolidine-1-sulfonyl)amino]propan-2-ol	208.283	-0.703	3	2	4	69.64	1.0	13
CCCCN(C)S(=O)(=O)NCCO	IMED1496843113	[butyl(methyl)sulfamoyl](2-hydroxyethyl)amine	210.299	-0.455	3	2	7	69.64	1.0	13
O=S1(=O)CCN(CCCC#N)CC1	IMED1116775696	4-(1,1-dioxo-1lambda6-thiomorpholin-4-yl)butanenitrile	202.279	0.021	4	0	3	61.17	0.875	13
CC(C)N1CCN(CC1)S(N)(=O)=O	IMED271854997	4-(propan-2-yl)piperazine-1-sulfonamide	207.299	-0.784	3	1	2	66.64	1.0	13
CCOC(=O)CN1CCCS1(=O)=O	IMED795514171	ethyl 2-(1,1-dioxo-1lambda6,2-thiazolidin-2-yl)acetate	207.251	-0.415	4	0	3	63.68	0.857	13
COC(=O)CN(C)S(=O)(=O)N(C)C	IMED414411573	methyl 2-[(dimethylsulfamoyl)(methyl)amino]acetate	210.255	-1.102	4	0	4	66.92	0.833	13
CC(O)CSC1=NN=NN1C1CC1	IMED1913803992	1-[(1-cyclopropyl-1H-1,2,3,4-tetrazol-5-yl)sulfanyl]propan-2-ol	200.267	0.481	6	1	4	63.83	0.857	13
CC(C)NC(=O)NCCS(N)(=O)=O	IMED445940899	1-(propan-2-yl)-3-(2-sulfamoylethyl)urea	209.271	-1.017	3	3	4	101.29	0.833	13
CC(C)(C)C(=O)NCCS(N)(=O)=O	IMED747629293	2,2-dimethyl-N-(2-sulfamoylethyl)propanamide	208.283	-0.563	3	2	3	89.26	0.857	13
CN(C)S(=O)(=O)N(CCO)CCO	IMED1566083675	(dimethylsulfamoyl)bis(2-hydroxyethyl)amine	212.271	-1.921	4	2	6	81.08	1.0	13
COC(=O)CCNS(=O)(=O)N(C)C	IMED355231421	methyl 3-[(dimethylsulfamoyl)amino]propanoate	210.255	-1.054	4	1	5	75.71	0.833	13
CN(C)S(=O)(=O)N1CCCC1CO	IMED1496965588	2-(hydroxymethyl)-N,N-dimethylpyrrolidine-1-sulfonamide	208.283	-0.75	3	1	3	60.85	1.0	13
NC1=NN=C(SCC2CCOC2)S1	IMED441130397	5-{[(oxolan-3-yl)methyl]sulfanyl}-1,3,4-thiadiazol-2-amine	217.319	1.249	6	1	3	61.03	0.714	13
COC(=O)CN(C(C)C)S(C)(=O)=O	IMED741057987	methyl 2-[N-(propan-2-yl)methanesulfonamido]acetate	209.267	-0.171	4	0	4	63.68	0.857	13
COC(=O)C(C)CN(C)S(C)(=O)=O	IMED736648365	methyl 2-methyl-3-(N-methylmethanesulfonamido)propanoate	209.267	-0.313	4	0	4	63.68	0.857	13
